release_date,title,main_director,soup
1977-05-25,Star Wars,georgelucas,android galaxi hermit deathstar lightsab jedi rescuemiss empir rebellion planet smuggler theforc spaceopera galacticwar stormtroop totalitarian markhamill harrisonford carriefisher georgelucas adventure action sciencefiction
2015-06-25,Ted 2,sethmacfarlane,spermbank sequel buddi courthous teddybear aftercreditssting toycomestolif marri markwahlberg sethmacfarlane amandaseyfried sethmacfarlane comedy
1993-11-29,Schindler's List,stevenspielberg,factori concentrationcamp hero holocaust worldwarii nazi defenseindustri biographi theholocaust liamneeson benkingsley ralphfiennes stevenspielberg drama history war
2011-08-03,Rise of the Planet of the Apes,rupertwyatt,intellig zoo cage dystopia goldengatebridg ape monkey medicalresearch alzheimer'sdiseas jamesfranco freidapinto johnlithgow rupertwyatt thriller action drama sciencefiction
2015-09-09,Maze Runner: The Scorch Trials,wesball,basedonnovel resist maze post-apocalypt dystopia infect ontherun escap zombi storm diseas desert sewer antidot corpor viru runner cityruin immun dylano'brien kayascodelario thomasbrodie-sangster wesball action
1972-03-14,The Godfather,francisfordcoppola,itali loveatfirstsight lossoffath patriarch organizedcrim mafia lawyer italianamerican crimefamili risetopow mobboss 1940 marlonbrando alpacino jamescaan francisfordcoppola drama crime
2016-11-16,Fantastic Beasts and Where to Find Them,davidyates,robberi magic teleport suitcas newyorkc subwayst centralpark wizard goblin magicalcreatur eddieredmayne colinfarrell katherinewaterston davidyates adventure family fantasy
2001-07-20,Spirited Away,hayaomiyazaki,witch parentchildrelationship magic dark bathhous ghostworld parallelworld amusementpark youkai japanesemytholog anim spirit rumihiiragi miyuirino marinatsuki hayaomiyazaki fantasy adventure animation family
2017-08-03,Wind River,taylorsheridan,rape mountain gun investig murder nativeamerican shootout photograph violenc fbiagent binocular snowmobil indianreserv jeremyrenner elizabetholsen gilbirmingham taylorsheridan action crime mystery thriller
2016-06-02,Now You See Me 2,jonm.chu,londonengland china magic secretsocieti vigilant sequel reveng heist ontherun macauchina magician jesseeisenberg woodyharrelson markruffalo jonm.chu action adventure comedy crime mystery thriller
1997-12-20,Life Is Beautiful,robertobenigni,itali riddl bookshop selfsacrific massmurd concentrationcamp bicycleaccid fascism lossoffath worldwarii loveofone'slif deport jewpersecut fantasi nazi nationalsoci charad ridingabicycl price storytel concentrationcampprison dyinganddeath peekaboo nicolettabraschi robertobenigni giorgiocantarini robertobenigni comedy drama
2017-06-21,Transformers: The Last Knight,michaelbay,knight transform markwahlberg joshduhamel laurahaddock michaelbay action sciencefiction thriller adventure
2017-03-02,Before I Fall,ryrusso-young,basedonnovel timeloop teenag mumblecor teendrama basedonyoungadultnovel zoeydeutch halstonsage loganmiller ryrusso-young mystery drama thriller
2001-11-16,Harry Potter and the Philosopher's Stone,chriscolumbus,witch christmasparti magic cuttingthecord halloween childhero broom chosenon frog fantasyworld basedonyoungadultnovel danielradcliffe rupertgrint emmawatson chriscolumbus adventure fantasy family
2017-07-21,Girls Trip,malcolmd.lee, reginahall queenlatifah jadapinkettsmith malcolmd.lee comedy
2017-06-29,2:22,paulcurrie, michielhuisman teresapalmer samreid paulcurrie drama thriller
2015-04-22,Avengers: Age of Ultron,josswhedon,marvelcom sequel superhero basedoncom vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo josswhedon action adventure sciencefiction
2017-02-24,Get Out,jordanpeele,externallycontrolledact parents-in-law satir darkcomedi interracialrelationship disappear racism africanamerican stereotyp policeharass miss race-consci danielkaluuya allisonwilliams bradleywhitford jordanpeele mystery thriller horror
1960-06-16,Psycho,alfredhitchcock,hotel clerk arizona shower rain motel money secretari corps murder theft privatedetect proto-slash anthonyperkins veramiles johngavin alfredhitchcock drama horror thriller
2014-10-15,Fury,davidayer,worldwarii nazi war nazigermani panzer tank bradpitt shialabeouf loganlerman davidayer war drama action
2017-06-15,Despicable Me 3,kylebalda,minion stevecarell kristenwiig treyparker kylebalda action animation adventure family comedy
1974-12-20,The Godfather: Part II,francisfordcoppola,italo-american cuba vorort melancholi prais reveng mafia lawyer blood corruptpolitician bloodybodyofchild manpuncheswoman alpacino robertduvall dianekeaton francisfordcoppola drama crime
2016-12-14,Rogue One: A Star Wars Story,garethedwards,rebel spacebattl spacetravel war prequel spaceship space alien deathstar jedi rebellion femaleprotagonist spacewestern gunfight suicidemiss robot spinoff lasergun spaceopera alienlanguag againsttheodd blindman felicityjones diegoluna benmendelsohn garethedwards action adventure sciencefiction
2014-07-14,Lucy,lucbesson,artificialintellig telepathi intellig drugmul telekinesi futurist drug superpow toughgirl imax surgeri braincapac syntheticdrug humanbrain scarlettjohansson morganfreeman choimin-sik lucbesson action sciencefiction
2017-03-22,Life,danielespinosa,mar alienlife-form space astronaut spacest intellig trappedinspac extraterrestriallif jakegyllenhaal rebeccaferguson ryanreynolds danielespinosa horror sciencefiction thriller
2016-09-28,Miss Peregrine's Home for Peculiar Children,timburton,timetravel orphan superpow evagreen asabutterfield samuell.jackson timburton drama fantasy adventure
2017-06-23,The Beguiled,sofiacoppola,sexualtens perioddrama unionsoldi americancivilwar womandirector confederaci allgirlsschool colinfarrell nicolekidman kirstendunst sofiacoppola drama western
2016-09-30,Operation Mekong,dantelam,china river boat illegaldrug incid mekong zhanghanyu eddiepeng fengwenjuan dantelam action adventure
2017-05-12,Baywatch,sethgordon,beach drugdeal basedontvseri lifeguard rooki vigilant dwaynejohnson zacefron alexandradaddario sethgordon action comedy
1975-11-18,One Flew Over the Cuckoo's Nest,milošforman,individu rebel self-destruct wheelchair lunaticasylum dyinganddeath rageandh freedom insan basicrightsandhumanright psychiatrist jacknicholson louisefletcher dannydevito milošforman drama
2013-10-29,Thor: The Dark World,alantaylor,marvelcom superhero basedoncom hostiletakeov norsemytholog aftercreditssting duringcreditssting marvelcinematicunivers 3d asgard chrishemsworth natalieportman tomhiddleston alantaylor action adventure fantasy
2016-09-17,A Silent Voice,naokoyamada,friendship highschool bulli comingofag basedonmanga deaf womandirector signlanguag anim miyuirino saorihayami aoiyuki naokoyamada animation drama
2016-08-26,Your Name.,makotoshinkai,supernatur romanc school starcrossedlov anim bodyswitch ryunosukekamiki monekamishiraishi masaminagasawa makotoshinkai romance animation drama
1995-10-20,Dilwale Dulhania Le Jayenge,adityachopra,music shahrukhkhan kajol amrishpuri adityachopra comedy drama romance
2016-06-02,Me Before You,theasharrock,england basedonnovel depress smalltown wheelchair caretak caregiv disabl twentysometh womandirector romanticdrama deadendjob accid emiliaclarke samclaflin janetmcteer theasharrock drama romance
2016-06-02,Me Before You,theasharrock,england basedonnovel depress smalltown wheelchair caretak caregiv disabl twentysometh womandirector romanticdrama deadendjob accid emiliaclarke samclaflin janetmcteer theasharrock drama romance
2007-09-06,The Mother of Tears,darioargento,rome coffin sacrific urn cult paranorm witch asiaargento cristiansolimeno adamjames darioargento horror
2010-06-23,The Twilight Saga: Eclipse,davidslade,vampir graduat bite immort werewolf fangvamp kristenstewart robertpattinson taylorlautner davidslade adventure fantasy drama romance
2013-07-11,Pacific Rim,guillermodeltoro,dystopia giantrobot giantmonst apocalyps imax duringcreditssting 3d idriselba charliehunnam charlieday guillermodeltoro action sciencefiction adventure
2017-06-06,The Mummy,alexkurtzman,monster mummi horror tomcruise russellcrowe annabellewallis alexkurtzman thriller action adventure
2017-07-28,The Emoji Movie,anthonyleondis,app emoji smartphon t.j.miller jamescorden annafaris anthonyleondis comedy family animation
2017-03-10,Rescue Under Fire,adolfomartínezpérez,war drama spanish ariadnagil robertoálamo antoniogarrido adolfomartínezpérez war
2015-11-25,Creed,ryancoogler,underdog sport spinoff undergroundfight motivationalspeak box michaelb.jordan sylvesterstallone grahammctavish ryancoogler drama
1999-03-30,The Matrix,lanawachowski,savingtheworld artificialintellig manvsmachin philosophi propheci martialart selfsacrific fight insurg virtualr dystopia truth cyberpunk womandirector messiah gnostic keanureeves laurencefishburne carrie-annemoss lanawachowski action sciencefiction
2015-02-11,Fifty Shades of Grey,samtaylor-johnson,basedonnovel pervers spank billionair bdsm womandirector dakotajohnson jamiedornan jenniferehle samtaylor-johnson drama romance thriller
2015-06-09,Jurassic World,colintrevorrow,monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan colintrevorrow action adventure sciencefiction thriller
2014-11-05,Interstellar,christophernolan,savingtheworld artificialintellig fathersonrelationship singlepar nasa expedit wormhol spacetravel famin blackhol dystopia raceagainsttim quantummechan spaceship space rescu familyrelationship farmhous robot astronaut scientist fatherdaughterrelationship singlefath farmer spacest imax astrophys zerograv courag timeparadox rel matthewmcconaughey jessicachastain annehathaway christophernolan adventure drama sciencefiction
1984-02-16,Once Upon a Time in America,sergioleone,lifeanddeath corrupt streetgang rape sadist lovesick sexualabus moneylaund opium robertdeniro jameswoods elizabethmcgovern sergioleone drama crime
2001-12-18,The Lord of the Rings: The Fellowship of the Ring,peterjackson,elv dwarv orc middle-earth(tolkien) hobbit basedonnovel mountain firework castl volcano password deathofafriend uncl mirror wizard swordandsorceri elijahwood ianmckellen cateblanchett peterjackson adventure fantasy action
2014-05-27,Edge of Tomorrow,dougliman,dejavu timewarp restart dystopia war alien militaryoffic soldier alieninvas exoskeleton tomcruise emilyblunt brendangleeson dougliman action sciencefiction
2016-12-21,The Autopsy of Jane Doe,andréøvredal,fathersonrelationship crematorium autopsi supernatur murder bell morgu corps thunderstorm coron autopsyroom supernaturalhorror elev axe causeofdeath emilehirsch briancox ophelialovibond andréøvredal horror mystery
2014-12-10,The Hobbit: The Battle of the Five Armies,peterjackson,corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri martinfreeman ianmckellen richardarmitage peterjackson action adventure fantasy
2015-12-15,Star Wars: The Force Awakens,j.j.abrams,android spaceship jedi imax spaceopera 3d daisyridley johnboyega adamdriver j.j.abrams action adventure sciencefiction fantasy
2014-11-14,The Imitation Game,mortentyldum,gay england worldwarii mathematician biographi logician cryptographi benedictcumberbatch keiraknightley matthewgoode mortentyldum history drama thriller war
2016-03-23,Batman v Superman: Dawn of Justice,zacksnyder,dccomic vigilant superhero basedoncom reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavill galgadot zacksnyder action adventure fantasy
2007-05-19,Pirates of the Caribbean: At World's End,goreverbinski,ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
2016-08-04,Collide,erancreevy, nicholashoult felicityjones anthonyhopkins erancreevy thriller action
2008-11-20,Twilight,catherinehardwicke,soulmat vampir forbiddenlov immort trust desir duringcreditssting womandirector interspeciesrom basedonyoungadultnovel fangvamp kristenstewart robertpattinson billyburke catherinehardwicke adventure fantasy drama romance
2012-06-27,The Amazing Spider-Man,marcwebb,lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting andrewgarfield emmastone rhysifans marcwebb action adventure fantasy
2017-07-19,Dunkirk,christophernolan,franc beach worldwarii evacu german pilot britisharmi royalnavi royalairforc privat alliedforc dunkirk fionnwhitehead tomglynn-carney jacklowden christophernolan action drama history thriller war
2016-11-10,Arrival,denisvilleneuve,spacecraft languag loss romanc alien femaleprotagonist scientist famili heartbreak basedonshortstori nonlineartimelin militari alienlanguag linguist firstcontact commun linguist amyadams jeremyrenner forestwhitaker denisvilleneuve thriller drama sciencefiction mystery
2013-10-18,12 Years a Slave,stevemcqueen,whip kidnap slaveri plantat nightshift violinplay physicalabus cotton slaveown 19thcenturi soldintoslaveri abolitionist chiwetelejiofor michaelfassbender lupitanyong'o stevemcqueen drama history
2015-03-04,Chappie,neillblomkamp,artificialintellig android robot nearfutur robotcop sharltocopley devpatel ninja neillblomkamp crime action sciencefiction
2015-06-23,Terminator Genisys,alantaylor,savingtheworld artificialintellig cyborg killerrobot futur timetravel dystopia sequel fiction duringcreditssting 3d arnoldschwarzenegger jasonclarke emiliaclarke alantaylor sciencefiction action thriller adventure
2017-06-29,The House,andrewj.cohen, amypoehler willferrell allisontolman andrewj.cohen comedy
2009-03-15,The Twilight Saga: New Moon,chrisweitz,moon cinema vampir werewolf fangvamp kristenstewart robertpattinson taylorlautner chrisweitz adventure fantasy drama romance
2002-11-13,Harry Potter and the Chamber of Secrets,chriscolumbus,flyingcar witch magic cuttingthecord childhero broom sorcerer'sapprentic schoolofwitchcraft giantsnak blackmag aftercreditssting danielradcliffe rupertgrint emmawatson chriscolumbus adventure fantasy family
2006-06-20,Pirates of the Caribbean: Dead Man's Chest,goreverbinski,witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
2017-03-08,Kong: Skull Island,jordanvogt-roberts,vietnamveteran 1970 monster expedit island kingkong u.s.soldi kaiju aftercreditssting monsterisland unchart tomhiddleston samuell.jackson brielarson jordanvogt-roberts action adventure fantasy
2002-12-18,The Lord of the Rings: The Two Towers,peterjackson,elv orc middle-earth(tolkien) hobbit basedonnovel explos cave fort armi mission attack guid wizard ring swordandsorceri elijahwood ianmckellen viggomortensen peterjackson adventure fantasy action
2002-05-01,Spider-Man,samraimi,lossoflov spider thanksgiv badboss hostil marvelcom superhero poki evil referencetosuperman goblin tobeymaguire willemdafoe kirstendunst samraimi fantasy action
2015-05-13,Mad Max: Fury Road,georgemiller,futur chase post-apocalypt dystopia australia rescu surviv ontherun convoy peakoil darkfutur tomhardy charlizetheron nicholashoult georgemiller action adventure sciencefiction thriller
2003-12-01,The Lord of the Rings: The Return of the King,peterjackson,elv orc middle-earth(tolkien) basedonnovel suspicion braveri war honor troll brutal violenc ghost endoftrilog quest swordandsorceri elijahwood ianmckellen viggomortensen peterjackson adventure fantasy action
2011-04-21,Thor,kennethbranagh,newmexico banish shield marvelcom hammer superhero basedoncom redempt norsemytholog aftercreditssting marvelcinematicunivers 3d asgard odin heimdal chrishemsworth natalieportman tomhiddleston kennethbranagh adventure fantasy action
2017-02-08,Fifty Shades Darker,jamesfoley,femalenud sex basedonnovel boat nuditi kiss sequel bdsm adapt eroticmovi oralsex dakotajohnson jamiedornan ericjohnson jamesfoley drama romance
2010-07-14,Inception,christophernolan,lossoflov dream kidnap sleep subconsci heist redempt femalehero leonardodicaprio josephgordon-levitt ellenpage christophernolan action thriller sciencefiction mystery adventure
2016-11-15,Split,m.nightshyamalan,childabus kidnap gore stalk teenagegirl blood violenc mentalil superpow multipleperson traumaticchildhood dissociativeidentitydisord jamesmcavoy anyataylor-joy bettybuckley m.nightshyamalan horror thriller
2016-05-18,X-Men: Apocalypse,bryansinger,mutant supernaturalpow marvelcom superhero basedoncom superhuman apocalyps superheroteam worlddomin aftercreditssting 1980 jamesmcavoy michaelfassbender jenniferlawrence bryansinger sciencefiction
2005-06-10,Batman Begins,christophernolan,himalaya martialart dccomic crimefight secretident undercov hero lossoffath societi gothamc vigilant superhero basedoncom rivalri tragichero ninja goodvsevil crime superpow hauntedbythepast evildoctor escapad mastervillain fightingcrim unfulfil loveandrom unfulfilledlov christianbale michaelcaine liamneeson christophernolan action crime drama
2004-05-31,Harry Potter and the Prisoner of Azkaban,alfonsocuarón,fli traitor magic cuttingthecord childhero broom sorcerer'sapprentic schoolofwitchcraft griffon blackmag timetravel bestfriend werewolf dark muggl aftercreditssting danielradcliffe rupertgrint emmawatson alfonsocuarón adventure fantasy family
2017-07-11,The Saint,erniebarbarash,thesaint adamrayner elizadushku ianogilvy erniebarbarash action adventure crime
2015-01-29,Kingsman: The Secret Service,matthewvaughn,spi greatbritain secretorgan secretag marvelcom basedoncom unitedkingdom duringcreditssting colinfirth samuell.jackson markstrong matthewvaughn crime comedy action adventure
2017-05-19,Diary of a Wimpy Kid: The Long Haul,davidbowers, jasoniandrucker owenasztalos charliewright davidbowers comedy family
2011-05-14,Pirates of the Caribbean: On Stranger Tides,robmarshall,sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnnydepp penélopecruz ianmcshane robmarshall adventure action fantasy
2015-03-18,Insurgent,robertschwentke,basedonnovel revolut dystopia sequel dystopicfutur youngadult 3d diverg shailenewoodley theojames katewinslet robertschwentke adventure sciencefiction thriller
2014-07-17,The Purge: Anarchy,jamesdemonaco,bu assaultrifl sniper machet dystopia psychopath sequel reveng murder surviv motorcycl violenc oneday maskedman apart death survivalhorror gatlinggun frankgrillo carmenejogo zachgilford jamesdemonaco horror thriller
2007-05-01,Spider-Man 3,samraimi,dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure
2016-12-21,Assassin's Creed,justinkurzel,assassin spain assassin secretsocieti brotherhood chase parkour memori religion basedonvideogam corporateconspiraci geneticmemori michaelfassbender marioncotillard jeremyirons justinkurzel action adventure sciencefiction
2014-07-17,Sex Tape,jakekasdan,marriag internet relationship famili sextap camerondiaz jasonsegel robcorddry jakekasdan comedy
2015-04-01,Furious 7,jameswan,carrac speed reveng suspens car race musclecar vindiesel paulwalker dwaynejohnson jameswan action
2013-02-21,Dark Skies,scottstewart,supernatur horror alien fear kerirussell joshhamilton dakotagoyo scottstewart sciencefiction thriller horror
1997-11-18,Titanic,jamescameron,shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910 katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller
2015-07-14,Ant-Man,peytonreed,marvelcom superhero basedoncom aftercreditssting duringcreditssting marvelcinematicunivers 3d paulrudd michaeldouglas evangelinelilly peytonreed sciencefiction action adventure
2006-05-27,Pan's Labyrinth,guillermodeltoro,spain resist servant antihero fairi fairytal francoregim armi princess love wood king hide labyrinth mytholog ivanabaquero maribelverdú sergilópez guillermodeltoro fantasy drama war
2015-11-18,The Hunger Games: Mockingjay - Part 2,francislawrence,revolut strongwoman dystopia gameofdeath 3d basedonyoungadultnovel jenniferlawrence joshhutcherson liamhemsworth francislawrence action adventure sciencefiction
2001-11-01,"Monsters, Inc.",petedocter,monster infant energysuppli compani rivalri hijink bestfriend scream conveyorbelt energycompani friend johngoodman billycrystal marygibbs petedocter animation comedy family
2014-04-16,The Amazing Spider-Man 2,marcwebb,obsess marvelcom sequel basedoncom electrocut medicalexperi electr superpow andrewgarfield emmastone jamiefoxx marcwebb action adventure fantasy
2013-06-20,World War Z,marcforster,dystopia apocalyps zombi nuclearweapon multipleperspect zombieapocalyps bradpitt mireilleenos abigailhargrove marcforster action drama horror sciencefiction thriller
